1571910776,1,13,1,"CJ,C2,C8,CA;S2,S9,S3,S4;S5,SJ,S6,S10;C4,C5,SQ,C3;D2,D4,D10,DA;SK,C6,HK,C10;H7,C7,HQ,CQ;D3,D8,DK,D5;D7,SA,DJ,D6;S7,H8,S8,HA;H2,H3,H6,H10;H5,CK,HJ,D9;H4,C9,H9,DQ"
1571910776,1,3,1,"CK,CA,CQ,C2;S4,S3,S9,S2;C7,C3,C6,C5;S5,S8,SQ,S6;HA,C4,C9,C8;DJ,D3,D4,D2;D5,D6,DQ,D7;HJ,DA,D8,SA;H7,CJ,HK,C10;H4,D9,D10,H8;SJ,H3,H9,H2;S10,SK,H10,H5;S7,DK,HQ,H6"
1571910776,1,1,1,"C9,CQ,C2,CA;S9,S2,S3,S4;D2,D3,D7,DA;SQ,S10,S7,S5;DQ,HQ,D9,D4;DK,HJ,D10,D5;SK,SJ,S8,S6;SA,H10,H5,HA;H2,H3,DJ,H4;HK,H6,CK,D6;H9,CJ,C10,D8;H8,C7,C3,C5;H7,C6,C4,C8"
1571910776,1,0,1,"CA,C5,C2,CK;S3,S2,S4,S6;S10,S9,S5,S7;C3,SA,C6,CJ;C7,H7,C9,C4;H10,SJ,S8,SQ;D3,DK,D2,D4;D9,D7,D5,D6;CQ,H5,SK,C8;H2,DQ,H4,HA;H8,DJ,HK,C10;H3,D10,H9,HJ;H6,D8,DA,HQ"
1571910776,1,15,1,"CK,C2,C10,CQ;S2,S5,S6,S7;HA,C8,C9,C3;S3,S8,SJ,HQ;H10,CA,C4,C5;DA,D2,D5,D8;S4,SK,SQ,H5;D3,D4,D7,DQ;DK,D6,D9,DJ;S9,HK,SA,H4;H8,HJ,D10,H3;H2,H9,C6,CJ;S10,H7,H6,C7"
1571910776,1,0,1,"C2,CK,CA,C7;S6,S2,S3,S4;S9,S8,SJ,S5;C3,C4,C8,SQ;SK,C5,CJ,H4;D4,D6,D2,DA;DQ,SA,D3,D7;D8,H8,D5,DK;HA,H6,D9,D10;HJ,CQ,HK,DJ;H10,C10,HQ,S7;H9,C9,H5,S10;H7,C6,H3,H2"
1571910776,1,2,1,"CQ,CK,CA,C2;S2,S8,S4,S3;S5,S9,SQ,S6;C4,C7,C6,C3;D6,D2,D3,D5;D4,D8,D9,D10;H10,DJ,DA,D7;CJ,SA,C9,C5;S7,SK,HQ,HK;H8,H2,H5,H4;S10,HA,H9,HJ;SJ,H6,DK,C10;H7,H3,DQ,C8"
1571910776,1,8,1,"CA,C2,CJ,C10;S5,S4,S2,SK;C3,CK,C4,C5;SQ,S8,S3,HA;CQ,HJ,C6,C7;D3,D2,D7,D9;D5,DJ,DK,D4;SA,S9,S6,H9;D6,DQ,HK,D8;H8,S10,S7,H7;H5,SJ,HQ,H6;DA,H2,H10,C9;D10,H4,H3,C8"
1571910776,1,12,1,"C10,CQ,C2,CJ;S5,S2,S4,S8;SA,C3,CA,C4;S7,S3,S6,SQ;SK,C5,C6,C8;D4,D3,D2,D5;D6,DA,D9,D7;H9,C9,C7,HJ;D8,D10,HK,DK;H3,HA,H2,H5;DJ,DQ,H8,H10;S10,SJ,S9,H7;H4,HQ,CK,H6"
1571910776,1,16,1,"CK,CJ,C2,CA;S4,S9,S5,S2;CQ,C3,C7,C4;C6,C5,C10,C9;HA,SQ,S7,S3;DK,D3,D5,D2;D7,D9,DA,D4;HK,HJ,S8,S6;H9,H10,S10,SJ;H8,DJ,SA,D6;H4,D10,SK,D8;H2,H3,H5,H7;C8,H6,HQ,DQ"
1571910776,1,19,1,"CJ,C2,C4,CK;S3,S6,S2,S5;C3,C6,SA,C5;C8,C10,SK,C7;C9,CQ,HK,H10;HA,CA,HJ,H9;D10,D3,D2,D4;S9,SQ,S4,S7;D9,D7,D5,DK;HQ,D8,D6,DQ;S10,H7,H8,S8;H2,H4,H6,H3;H5,DA,DJ,SJ"
1571910776,1,17,1,"CK,C10,CJ,C2;S2,S10,S4,S3;CQ,C3,C4,C6;C5,C7,C8,CA;SQ,SA,S5,S6;D2,D3,D5,DK;D8,D4,DA,D6;HA,H9,S7,S8;DJ,D7,HQ,D10;C9,H8,HJ,SK;H4,H7,H2,H3;HK,D9,H10,DQ;H6,H5,SJ,S9"
